Come quickly!	Przyjdź szybko!
That's the way we like it.	Tak lubimy.
I made a serious mistake on the test.	Popełniłem duży błąd na teście.
Now stand back.	Teraz się cofnij.
Be ruthless.	Bądź bezwzględny.
I've kept a diary for three years.	Pisałem pamiętnik przez trzy lata.
I don't know where Tom is right now.	Nie wiem, gdzie teraz jest Tom.
How about October 20th at 2:30 p.m.?	Co powiesz na 20 października o 14:30?
I don't need to know.	Nie muszę wiedzieć.
My taxi should be here soon.	Moja taksówka powinna być lada moment.
Who spoke?	Kto zabrał głos?
Do you have a computer?	Macie komputer?
I eat cheese.	Jem ser.
You dropped your handkerchief.	Upuściłaś swoją chustkę.
He woke up to find himself lying on a bench in the park.	Obudził się i ze zdziwieniem stwierdził, że jest na ławce w parku.
How did you come by this money?	Jak zdobyłeś te pieniądze?
We didn't need to ask him to resign.	Nie było potrzeby prosić go o rezygnację.
I can't draw, but my sister is a great artist.	Nie umiem rysować, za to moja siostra jest wspaniałą artystką.
You heard what Tom said, didn't you?	Słyszałeś co Tom powiedział, prawda?
His pencil has a sharp point.	Jego ołówek ma ostrą końcówkę.
I am leaving at four.	Wychodzę o czwartej.
You're not a doctor.	Nie jest pan lekarzem.
The American boy spoke broken Japanese.	Ten młody Amerykanin mówił łamanym japońskim.
Have you finished your lunch yet?	Czy już skończłeś swój lunch?
Tom told me he thought Mary was single.	Tom powiedział mi, że myślał, że Mary jest singielką.
"I'll never understand women," said Tom.	"Nigdy nie zrozumiem kobiet" - powiedział Tom.
Sit up straight.	Usiądź prosto.
Stay with me.	Zostań ze mną.
Where are your things?	Gdzie są twoje rzeczy?
Pick up the pencil from the floor.	Podnieś ołówek z podłogi.
Study more.	Ucz się więcej.
I can jump.	Umiem skakać.
That isn't my fault.	To nie moja wina.
Thanks for your explanation.	Dziękuję, że mi to wyjaśniłeś.
Try smiling.	Spróbuj się uśmiechać.
I don't like the smell of garlic.	Nie lubię zapachu czosnku.
Earth is the third planet from the sun.	Ziemia jest trzecią planetą od Słońca.
Tom set the alarm on his watch.	Tom ustawił alarm na swoim zegarku.
Do you know where Tom is?	Wiesz gdzie jest Tom?
We have all the evidence we need.	Mamy wszystkie dowody, których potrzebujemy.
I've got to do something.	Muszę coś zrobić.
How do I get to NHK?	Jak dojść do NHK?
This belongs to you.	To należy do ciebie.
Tom is probably not happy right now.	Tom pewnie nie jest teraz szczęśliwy.
I've had a slight fever since this morning.	Od rana mam lekką gorączkę.
No problem.	Nie ma sprawy.
Come here and help me.	Podejdź tu i mi pomóż.
I have no home to live in.	Nie mam gdzie mieszkać.
Is it dirty?	Czy jest brudna?
I forgot to tell you about Tom.	Zapomniałem powiedzieć ci o Tomie.
What was the second reason?	Jaki był drugi powód?
Do you know which one of those boys is Tom?	Wiesz, który z tych chłopców to Tom?
I have a job I have to do.	Mam pracę, którą muszę wykonać.
These containers are airtight.	Te kontenery są szczelne.
When did you come to Japan?	Kiedy przyjechałeś do Japonii?
Why didn't you say that before?	Czemu nie powiedziałeś tego wcześniej?
Tom doesn't want to be famous.	Tom nie chce być sławny.
I think that Tom is tough.	Uważam, że Tom jest twardy.
Tom told us.	Tom nam powiedział.
What time do you go to work?	O której godzinie wychodzisz do pracy?
The angry citizens took action immediately.	Rozzłoszczeni obywatele natychmiast podjęli działania.
I had never been there before.	Nigdy tam przedtem nie byłem.
It's cloudy, but not raining.	Jest pochmurno, ale nie pada.
Tom didn't like Mary at that time.	Tom w tamtym momencie nie lubił Mary.
It wasn't reasonable.	To nie było rozsądne.
We agreed to the plan.	Zgodziliśmy się na ten plan.
He was a weak child with poor eyesight.	Był dzieckiem słabym, z marnym wzrokiem.
Let's have some fun.	Zabawmy się.
I told Tom that Mary was mad at him.	Powiedziałem Tomowi, że Mary jest na niego wściekła.
Tom has been gone for over an hour.	Nie było Toma przez ponad godzinę.
This is happening too often.	To się zdarza zbyt często.
How much time do you spend on Facebook?	Jak dużo czasu spędzasz na Facebooku?
Nobody cares whether I die or not.	Nikogo to nie obchodzi czy umrę.
Wait!	Niech pani zaczeka!
Are they tall?	Czy są wysocy?
Yeah, that's what I meant.	Tak, to jest to, co miałem na myśli.
My wounds have healed.	Moje rany zagoiły się.
Are you married?	Jesteś żonaty?
You put too much sugar in the tea.	Przesłodziłaś herbatę.
Who committed this murder?	Kto popełnił to morderstwo?
No doubt he did his best, but he didn't succeed.	Niewątpliwie dał z siebie wszystko, ale nie udało mu się.
There's a sheet of white paper on the table.	Biały papier leży na stole.
It's all white.	Wszystko jest białe.
I'd like to visit that place someday.	Chciałabym kiedyś odwiedzić tamto miejsce.
I gave her my word I would be back home by nine.	Dałem jej słowo, że będę w domu przed dziewiątą.
I never lied to you.	Nigdy Cię nie okłamałem.
How many of you live here?	Ilu z was tu mieszka?
Tom is the one who advised Mary to do that.	To Tom poradził Mary, żeby tak zrobiła.
Is there someone there with you?	Czy ktoś tam z tobą jest?
I went shopping last Saturday.	Byłem na zakupach w sobotę.
I don't like my new job.	Nie lubię mojej nowej pracy.
I'm really tired.	Jestem naprawdę zmęczony.
I am curious.	Bardzo jestem ciekaw.
I'm in the kitchen.	Jestem w kuchni.
When did your sister leave Tokyo for London?	Kiedy twoja siostra wyjechała z Tokio do Londynu?
Come nearer so that I can see your face.	Zbliż się, żebym mógł zobaczyć twoją twarz.
No one can help me.	Nikt nie może mi pomóc.
I've seen you somewhere before.	Widziałem cię już gdzieś.
Steam trains were replaced by electric trains.	Parowozy zostały zastąpione przez lokomotywy elektryczne.
Help! I'm drowning!	Pomocy! Tonę!
I met him on several occasions.	Miałem okazję go kilka razy spotkać.
I saw Tom hit Mary.	Widziałem, jak Tom uderzył Mary.
You were smart not to eat that.	Dobrze zrobiłeś nie jedząc tego.
Do you believe in angels?	Czy wierzysz w anioły?
Answer me.	Odpowiedz mi.
In Japan, it's now 3:00 a.m.	W Japonii, jest teraz trzecia nad ranem.
I was tired of the work.	Byłem zmęczony pracą.
Our dog is in the kennel.	Nasz pies siedzi w budzie.
I won't work overtime today.	Nie będę dziś robić nadgodzin.
Are they looking at us?	Patrzą na nas?
They were soldiers.	Byli żołnierzami.
I could talk to Tom.	Mogę rozmawiać z Tomem.
It's a big responsibility.	To duża odpowiedzialność.
Do you write love letters?	Czy piszesz listy miłosne?
I'm pretty sure that Tom won't buy that car he was looking at yesterday.	Jestem pewny, że Tom nie kupi tego auta, które wczoraj oglądał.
I met her by chance.	Spotkałem ją przypadkiem.
You should open all the windows.	Powinieneś otworzyć wszystkie okna.
Everybody's still there.	Wszyscy nadal tam są.
Tom disappeared into the tunnel.	Tom zniknął w tunelu.
We chose the lesser of the two evils.	Wybraliśmy mniejsze zło.
I want to get a real job.	Chcę dostać prawdziwą pracę.
Open your eyes now.	Otwórz teraz oczy.
I felt as if I had no choice.	Czułam się, jakbym nie miała wyboru.
I lay on my bed.	Leżę na moim łóżku.
Tom likes learning French.	Tom lubi uczyć się francuskiego.
I don't like anything.	Nic mi się nie podoba.
It is well known that the city has a high crime rate.	Wszyscy wiedzą, że wskaźnik przestępczości w mieście jest bardzo wysoki.
How many teeth does a cow have?	Ile zębów ma krowa?
I'm sick.	Jestem chory.
I thought you were trying to be funny.	Myślałem, że próbujesz być zabawny.
He catches colds very easily.	On łapie przeziębienia bardzo łatwo.
Remember it.	Zapamiętaj to.
The room is very bright.	Pokój jest bardzo jasny.
I'm sorry.	Przykro mi.
I know you.	Znam cię.
You were exaggerating.	Przesadzałeś.
Tom said he didn't know who Mary was.	Tom powiedział, że nie wiedział kim była Mary.
This is an apple tree.	To jest jabłoń.
The hunter shot the fox dead.	Myśliwy ustrzelił lisa.
You shouldn't judge a person by his appearance.	Nie oceniaj ludzi po wyglądzie.
How did you spend your holiday?	Jak spędziłeś wakacje?
Tom continued working even though he was very tired.	Tom pracował dalej, mimo tego, że był już bardzo zmęczony.
It wasn't my fault.	To nie była moja wina.
Hey, what are you doing here?	Hej, co ty tutaj robisz?
He is no more a fool than you are.	Nie większy z niego idiota od ciebie.
Where are we going?	Dokąd idziemy?
I hate it when people tell me what to do.	Nienawidzę, gdy ludzie mówią mi, co mam robić.
You should go and have your hair cut.	Musisz iść ściąć włosy.
Tom hasn't really been helping us much.	Tom nie był nam zbyt pomocny.
Tom had difficulty paying attention.	Tom ma trudności w skupianiu uwagi.
It's cloudy today.	Dzisiaj jest pochmurno.
Tom answered the policeman's questions.	Tom odpowiedział na pytania policjanta.
My father seldom smokes.	Mój ojciec rzadko pali.
I met Tom this October.	Poznałem Toma w październiku tego roku.
Tom will change it.	Tom to zmieni.
I left my dictionary downstairs.	Zostawiłem swój słownik na dole.
She apologized to me for stepping on my foot.	Przeprosiła za nadepnięcie mi na stopę.
I jumped.	Skoczyłem.
Tom and I didn't speak to each other for three years.	Nie rozmawialiśmy z Tomem od trzech lat.
I didn't know about you.	Nie wiedziałem o tobie.
I go to school with him.	Chodzę z nim do szkoły.
This meal is adequate for three.	Ten posiłek wystarczy dla trzech.
I threw it out.	Wyrzuciłem to.
You won't get any argument from me.	Nie dostaniesz ode mnie żadnego argumentu.
Who has eaten all the cookies?	Kto zjadł wszystkie ciasteczka?
My customers never complain.	Moi klienci nigdy nie narzekają.
Was anybody else hurt?	Czy ktoś jeszcze został ranny?
You still haven't told me how old you are.	Nadal mi nie powiedziałeś, ile masz lat.
Today's too hot for sunbathing.	Dzisiaj jest za gorąco na opalanie się.
I hope tomorrow isn't too bad.	Mam nadzieje że jutro nie będzie aż tak źle.
Is this book yours?	Czy to twoja książka?
I intend to go there.	Zamierzam tam pójść.
I was a doctor.	Byłem lekarzem.
He cut the meat with a knife.	Przeciął mięso nożem.
I have lunch at noon.	W południe jem obiad.
The man stood up and began to sing.	Mężczyzna wstał i zaczął śpiewać.
Stop daydreaming.	Przestań śnić na jawie.
I worked hard last month.	Pracowałem ciężko w poprzednim miesiącu.
Winning the election was a great victory for the candidate's political party.	Wygrana w wyborach zaiste była wielkim zwycięstwem dla partii politycznej tego kandydata.
I would like to spend the whole morning like this.	Chciałbym spędzić cały poranek w ten sposób.
I looked in the window.	Popatrzyłem w okno.
The colors are vivid.	Kolory są żywe.
I went out for a moment.	Wyszedłem na chwilę.
Where's Tom now?	Gdzie jest teraz Tom?
I wasn't busy.	Nie byłem zajęty.
Americans admire Lincoln for his honesty.	Amerykanie podziwiają Lincolna za uczciwość.
Do you want to go to prison?	Chcesz iść do więzienia?
I have a message from Tom.	Mam wiadomość od Toma.
He was accused of murder.	Był oskarżony o zabójstwo.
I misunderstood.	Źle zrozumiałem.
Don't put your hands out the window.	Nie wystawiaj rąk przez okno.
Tom failed to pass his driving test.	Tom nie zdał egzaminu na prawo jazdy.
I didn't know Tom could play the trombone so well.	Nie wiedziałem, że Tomasz potrafi tak dobrze grać na puzonie.
I suddenly got a craving to eat some crisp roast chicken skin.	Nagle miałem pragnienie, żeby zjeść jakąś chrupką, pieczoną skórkę kurczaka
Tom will kiss Mary.	Tom pocałuje Mary.
I don't like those shoes.	Nie podobają mi się tamte buty.
Did you hear about what happened last night?	Słyszałeś, co się stało ostatniej nocy?
I never should've left.	Absolutnie nie powinienem był wychodzić.
Not everyone who lives here is rich.	Nie każdy, kto tutaj mieszka, jest bogaty.
I met the prince himself.	Spotkałem samego księcia.
Tom wanted to get married to Mary.	Tom chciał się ożenić z Mary.
Why would anybody eat pickled cabbage?	Po co ktokolwiek miałby jeść marynowaną kapustę?
Tom and Mary camped out in a field.	Tom i Mary rozbili obóz na polu.
Dogs can't distinguish between colors.	Psy nie rozróżniają kolorów.
Do you think he is good for the position?	Myślisz, że jest dobry na to stanowisko?
Tom couldn't speak.	Tom nie mógł mówić.
Tom ran across the field.	Tom pobiegł przez pole.
We all have to die.	Wszyscy musimy umrzeć.
What are you selling?	Co sprzedajecie?
Tell him to come here at once.	Powiedz mu, żeby przyszedł tu natychmiast.
He likes to talk about the army.	Lubi opowiadać o wojsku.
She wouldn't let him in.	Nie pozwalała mu wejść.
I'd like to become a famous soccer player.	Chciałbym zostać sławnym piłkarzem.
Tom closed all the windows.	Tom zamknął wszystkie okna.
Tom promised that he would be back soon.	Tom obiecał, że niedługo wróci.
Tom threatened me. He said if I didn't give him the money, he'd cut off one of my fingers.	Tom groził mi. Powiedział, że jeśli nie dam mu pieniędzy, obetnie mi palec.
I suspect that Tom is the one who did that.	Podejrzewam, że to Tom to zrobił.
Can all your children speak French?	Czy wszystkie twoje dzieci mówią po francusku?
I heard you were planning to move to Boston.	Słyszałem, że planujesz przeprowadzić się do Bostonu.
I shouldn't have sold my car.	Nie powinienem był sprzedawać samochodu.
I'll just wait here until Tom arrives.	Zaczekam tutaj, aż Tom przyjedzie.
You're persuasive.	Jesteś przekonujący.
How can I get there?	Jak mogę tam dojechać?
It is hard to recognize you.	Trudno cie rozpoznać.
I am a man.	Jestem człowiekiem.
Take a walk every day.	Idź na spacer każdego dnia.
What kind of monster would do such a thing?	Jaki potwór zrobiłby coś takiego?
I wasn't asking your permission.	Nie prosiłem cię o pozwolenie.
None of us speak French.	Nikt z nas nie mówi po francusku.
Give it to whoever you want.	Daj to komu chcesz.
You should talk to a specialist.	Powinieneś porozmawiać ze specjalistą.
He hired some new workers.	Zatrudnił kilku nowych pracowników.
We must decide by tomorrow morning.	Do jutra rana musimy podjąć decyzję.
Keep searching.	Szukaj dalej.
Do you know how beautiful you are?	Wiesz, jak jesteś piękna?
I rested.	Odpoczęłam.
Who is that boy?	Kim jest ten chłopiec?
I took over the business from my father.	Przejąłem interes po ojcu.
You should have told me that you wanted me to come alone.	Powinnaś była mi powiedzieć, że chcesz żebym przyszedł sam.
I'm afraid of earthquakes.	Boję się trzęsień ziemi.
A capital letter is used at the beginning of a sentence.	Wielka litera używana jest na początku zdania.
Tom approved.	Tom zatwierdził.
Tom likes word games.	Tom lubi gry słowne.
The talks will deal with the problem of pollution.	Rozmowy będą dotyczyły problemu zanieczyszczeń.
That's how it works.	Tak to działa.
Why don't we go home?	Dlaczego nie pójdziemy do domu?
Napoleon's horse was white.	Koń Napoleona był biały.
One of us should talk to Tom.	Jeden z nas powinien porozmawiać z Tomem.
I wish I could have spoken French.	Szkoda, że nie znam francuskiego.
Accidents will happen.	Wypadki będą się zdarzać.
I'll come when I have done my homework.	Przyjdę, jak skończę zadanie domowe.
Tom is a diabetic.	Tom jest cukrzykiem.
Tom helped.	Tom pomógł.
Someone was there.	Ktoś tam był.
We're just children.	Jesteśmy tylko dziećmi.
I don't want to sleep on the couch again tonight.	Nie chcę dziś znowu spać na kanapie.
Your shirt is stained.	Twoja koszula ma plamę.
I spent a lot of my time studying French.	Spędzam dużo czasu na nauce francuskiego.
Look what we've done.	Popatrz, co zrobiliśmy.
He is old.	Jest stary.
I wish I could figure out how to make more money.	Chciałbym znać sposób, jak zarabiać więcej pieniędzy.
Tom wants popcorn.	Tom chce popcorn.
I'll try to do it as fast as I can.	Postaram się to zrobić najszybciej jak potrafię.
Everybody likes ice cream.	Wszyscy lubią lody.
She's not here.	Nie ma jej tutaj.
It is never too late to learn.	Nigdy nie jest późno na naukę.
We were just eating dinner.	Jadłyśmy właśnie obiad.
We have to wait here.	Musimy tu zaczekać.
That's impossible.	To jest niemożliwe.
I told Tom he wouldn't like it here.	Powiedziałem Tomowi, że nie będzie mu się tu podobać.
Where's my phone book?	Gdzie jest moja książka telefoniczna?
Who did you see at the party yesterday?	Kogo widziałeś wczoraj na imprezie?
Will you show me what you bought yesterday?	Pokażesz mi, co wczoraj kupiłeś?
There are exceptions.	Zdarzają się wyjątki.
We're going tomorrow.	Jutro wyjeżdżamy.
I studied English for four years with a native speaker.	Uczyłem się angielskiego cztery lata u rodowitego użytkownika.
The rains ruined the harvest.	Deszcze zrujnowały plony.
Don't forget your stuff.	Nie zapomnij swoich rzeczy.
He likes my jokes.	Lubi moje żarty.
Today, I'll sleep on the couch.	Dziś będę spał na kanapie.
They built a fence around the farm.	Oni budują płot dookoła farmy.
The lion lay in the middle of the cage.	Lew leżał na środku klatki.
Keep dancing.	Tańcz dalej.
Hold your breath, please.	Proszę nie oddychać.
I've got to go now.	Muszę już iść.
Did Tom know you couldn't do that?	Czy Tom wiedział, że nie mógłbyś tego zrobić?
The project to build a new sports center has fallen through for lack of adequate funds.	Projekt budowy nowego centrum sportu upadł z powodu braku wystarczających funduszy.
I'm brave.	Jestem odważny.
Please stop fighting.	Przestań walczyć.
Shut the door.	Zamknąć drzwi.
Our plans are not yet concrete.	Nie mamy jeszcze konkretnych planów.
Are we lost?	Zgubiliśmy się?
You can't leave.	Nie możesz wyjechać.
Tom's only living relative is an uncle living in Boston.	Jedynym żyjącym krewnym Toma jest wujek mieszkający w Bostonie.
You're ready.	Jesteś gotowy.
Tom wasn't wearing a life jacket.	Tom nie nosił kamizelki ratunkowej.
I cook almost every day.	Gotuję prawie codziennie.
You smell like a dog.	Śmierdzisz jak pies.
Tom can't afford to send his children to college.	Toma nie stać, by posłać swoje dzieci na studia.
You should pay attention.	Powinieneś słuchać uważnie.
When the Englishman heard this last question, he could not believe his ears.	Kiedy Anglik usłyszał ostatnie pytanie, nie mógł uwierzyć własnym uszom.
I'm really busy at the moment.	Teraz jestem naprawdę zajęty.
I have no clue.	Nie mam pojęcia.
Everybody has to be somewhere.	Każdy musi gdzieś być.
Money doesn't grow on trees.	Pieniądze nie rosną na drzewach.
Tom was really embarrassed.	Tom był naprawdę zakłopotany.
She was just about to take a bath when the bell rang.	Właśnie miała brać kąpiel, kiedy zadzwonił dzwonek.
Please show me around.	Proszę, oprowadź mnie.
Tom is my lawyer.	Tom jest moim prawnikiem.
Go without me.	Idź beze mnie.
We're all on the same side.	Jesteśmy wszyscy po tej samej stronie.
I won't be able to sleep.	Nie będę mógł zasnąć.
Three civilians were wounded.	Trzech cywilów było rannych.
I heard that Tom is learning how to drive.	Słyszałem, że Tom uczy się prowadzić.
I knew how to swim.	Wiedziałem, jak pływać.
I gave up eating dessert.	Przestałem jeść desery.
I think that Tom is suggesting that we should leave.	Tom chyba sugeruje, że powinniśmy wyjść.
I was full.	Byłam syta.
The teacher called the roll.	Nauczyciel sprawdził obecność.
I work.	Pracuję.
Many ethnic groups traditionally give money as a wedding gift.	Wiele grup etnicznych tradycyjnie daje pieniądze jako prezent ślubny.
If you don't want to say anything, you don't have to.	Jeśli nie chcesz niczego powiedzieć, to nie musisz.
I had to go.	Musiałem iść.
Please fix this.	Proszę to naprawić.
Tom is the only boy here who doesn't like baseball.	Tom jest jedynym chłopakiem, który nie lubi baseballu.
I got a telescope for my birthday.	Dostałem teleskop na urodziny.
Tom took off his socks.	Tom zdjął skarpety.
Wait up.	Czekaj.
Any child can do that.	Każde dziecko może to zrobić.
Who voted for him?	Kto na niego głosował?
Supporting his family was a great burden for him.	Utrzymanie rodziny było dla niego wielkim ciężarem.
This bread smells very good.	Ten chleb pachnie bardzo dobrze.
She lost her son in the war.	Straciła syna na wojnie.
In other words, she's dumb.	Innymi słowy, ona jest głupia.
You're just jealous.	Po prostu jesteś zazdrosna.
What a lazy teacher!	Cóż to za leniwy nauczyciel!
I am happy.	Jestem szczęśliwy.
She showed me her album.	Pokazała mi jej album.
Some diseases are incurable.	Niektóre schorzenia są nieuleczalne.
I'll go see if Tom is OK.	Zobaczę, czy z Tomem wszystko w porządku.
People ask you for criticism, but they only want praise.	Ludzie proszą Cię o opinię, ale wszystko czego chcą to pochwała.
They lived happily ever after.	I żyli długo i szczęśliwie.
I have a decision to make.	Mam decyzję do podjęcia.
We could freeze to death.	Moglibyśmy zamarznąć na śmierć.
I hope everyone has arrived safely.	Mam nadzieję, że każdy bezpiecznie dotarł.
What do you say we go skiing?	Co powiesz na to żebyśmy pojeździli na nartach?
My part-time job is delivering pizzas.	Pracuję dorywczo jako dostawca pizzy.
Does this happen often?	Czy to się często zdarza?
He's worried that he might be late.	On się obawia, że się spóźni.
You're making me laugh.	Rozśmieszasz mnie.
I chew gum.	Żuję gumę.
He lives on welfare.	On jest na zasiłku.
I regret eating those oysters.	Żałuję, że zjadłem tamte ostrygi.
You are rude.	Jesteś nieuprzejmy.
I'm sure it wouldn't be too hard to find another place to live.	Jestem pewien, że nie będzie trudno znaleźć inne lokum.
Her ambition is to be a ballet dancer.	Ona ma ambicję zostać baletnicą.
Are you tired?	Czy jesteś zmęczony?
I prefer to study in the afternoon.	Wolę uczyć się po południu.
As a vegetarian, she doesn't eat meat.	Jako wegetarianka, nie je mięsa.
He criticized me for neglecting my duty.	Skrytykował mnie za zaniedbywanie obowiązku.
My brother is good at mathematics.	Mój brat jest dobry z matematyki.
I am not eating.	Nie jem.
You've made a terrible mistake.	Popełniłeś okropny błąd.
We're going to the movies tonight.	Idziemy dziś wieczorem do kina.
I finally escaped.	Wreszcie uciekłem.
You're ruined.	Jesteś nawalony.
Tom slipped.	Tom poślizgnął się.
I know what's happening at home.	Wiem, co się dzieje w domu.
The streets are covered with snow.	Ulice są zaśnieżone.
I suggest you not talk so loud.	Sugeruję ci nie mówić tak głośno.
I'm blessed.	Jestem błogosławiony.
Someone was calling my name.	Ktoś wołał mnie po imieniu.
Prices dropped recently.	Ceny spadły ostatnio.
The girl was trembling with fear.	Dziewczynka trzęsła się ze strachu.
He's friendly.	On jest przyjacielski.
I need to rest now.	Muszę teraz odpocząć.
Those are our books.	To są nasze książki.
They want this.	Oni tego chcą.
Tom believes that Mary is his best friend.	Tom wierzy, że Mary jest jego najlepszą przyjaciółką.
I'm not accusing Tom of anything.	Nie oskarżam Toma o nic.
We can't allow that.	Nie możemy na to pozwolić.
Go downstairs.	Zejdź na dół.
What's your occupation?	Jakie masz stanowisko?
I've heard that people can eat cat food without any harmful effects.	Słyszałem, że ludzie mogą jeść bez szkody karmę dla kotów.
I know the boy.	Znam tego chłopaka.
How did you do it?	Jak to zrobiłeś?
I haven't had lunch.	Nie jadłem obiadu.
I'd do that if I knew how.	Zrobiłbym to, gdybym wiedział jak.
I hope it was worth it.	Mam nadzieję, że było warto.
Tom said he plans on staying with us for a couple of weeks.	Tom powiedział, że planuje u nas zostać przez kilka tygodni.
Have you ever kissed Tom?	Całowałeś się kiedykolwiek z Tomem?
She may not come to the party tonight.	Być może ona nie przyjdzie dziś wieczorem na przyjęcie.
It is freezing cold.	Jest lodowato.
Excuse me, but may I use your telephone?	Przepraszam, mogę użyć twojego telefonu?
I'm a good guesser.	Jestem dobry w odgadywaniu.
